,NAME,lat,lon
0,ASTOR PL,-73.99106999861966,40.73005400028978
1,CANAL ST,-74.00019299927328,40.71880300107709
2,50 ST,-73.98384899986625,40.76172799961419
3,BERGEN ST,-73.97499915116808,40.68086213682956
4,PENNSYLVANIA AV,-73.89488591154061,40.66471445143568
5,238 ST,-73.90087000018522,40.88466700064975
6,CATHEDRAL PKWY (110 ST),-73.95806670661364,40.80058155811496
7,KINGSTON-THROOP,-73.94085899871263,40.67991899941601
8,65 ST,-73.8987883783301,40.74971952935675
9,36 ST,-73.92901818461539,40.75196004401078
10,DELANCEY/ESSEX,-73.98740940202974,40.71830605618619
11,VAN SICLEN AV,-73.89165772702445,40.67802821447783
12,NORWOOD AV,-73.87962599910783,40.68152000045683
13,104 ST,-73.84443500029684,40.69516599823373
14,DEKALB AV,-73.98177094440949,40.690648119969794
15,BEACH 105 ST,-73.82758075034528,40.58326843810286
16,BEACH 90 ST,-73.81365140419632,40.58809156457325
17,FREEMAN ST,-73.89175225349464,40.82998744638412
18,INTERVALE AV,-73.89661738461646,40.82214213117079
19,182-183 STS,-73.90074099998965,40.85609299881864
20,174-175 STS,-73.91013600050078,40.84589999983414
21,167 ST,-73.91843200082253,40.83376899862797
22,METS-WILLETS PT,-73.8456249984179,40.75462199881262
23,JUNCTION BLVD,-73.86952700103515,40.74914499948836
24,FLUSHING-MAIN,-73.83003000262508,40.75959999915012
25,BUHRE AV,-73.83256900003744,40.846809998885504
26,3 AV 138 ST,-73.92613800014134,40.81047600117261
27,CASTLE HILL AV,-73.85122199961472,40.83425499825462
28,BROOKLYN BRIDGE,-74.0041310005885,40.713064999433136
29,ZEREGA AV,-73.8470359987544,40.83648800060816
30,GRD CNTRL-42 ST,-73.9767132992584,40.75180742981634
31,33 ST,-73.98207600148947,40.74608099909145
32,96 ST,-73.9510700015425,40.78567199998607
33,77 ST,-73.95987399886047,40.77362000074615
34,CHAUNCEY ST,-73.91038357033376,40.68285130087804
35,UNION ST,-73.98310999909673,40.67731566735096
36,ELMHURST AV,-73.8820347465864,40.74237007972169
37,RALPH AV,-73.92078599933306,40.678822000873375
38,PELHAM PKWY,-73.86748067850041,40.8571924091606
39,GUN HILL RD,-73.86613410538703,40.87783938517202
40,NEREID AV (238 ST),-73.8543153107622,40.898286515575286
41,FRANKLIN AV,-73.9580997367769,40.67076515344894
42,SIMPSON ST,-73.89306639507903,40.8239768412374
43,BRONX PARK EAST,-73.86835609178098,40.84876866633893
44,WINTHROP ST,-73.95007934590994,40.65665931376077
46,149/GRAND CONC,-73.9273847542618,40.81830344372315
47,161/YANKEE STAD,-73.92569199505733,40.82823032742169
48,nan,-73.9679670004732,40.762526000304575
49,E 149 ST,-73.90409799875945,40.81211799827203
50,MORISN AV/SNDVW,-73.87451599929486,40.82952100156747
51,WHITLOCK AV,-73.8862829985325,40.82652500055904
52,ST LAWRENCE AV,-73.86761799923673,40.8315090005233
53,61 ST WOODSIDE,-73.90298400173006,40.7456300011384
54,FAR ROCKAWAY,-73.75540499924732,40.60399500168754
